email,name,tdt_id,gender,phone_number,date_of_birth,address,role,parent_number,parent_email
26492202@student.tdtu.edu.vn,Student 45,26492202,male,0945203898,2011-08-14,26 Đường A,student,0971619898,27089260@student.tdtu.edu.vn
50131771@student.tdtu.edu.vn,Student 46,50131771,male,0913648909,2015-08-12,78 Đường C,student,0951017959,77332632@student.tdtu.edu.vn
66448220@student.tdtu.edu.vn,Student 47,66448220,female,0982004036,2021-08-10,44 Đường A,student,0949315946,33459409@student.tdtu.edu.vn
52363605@student.tdtu.edu.vn,Student 48,52363605,male,0914618483,2022-11-15,79 Đường A,student,0921860123,15021282@student.tdtu.edu.vn
32959972@student.tdtu.edu.vn,Student 49,32959972,female,0929105489,2015-07-06,8 Đường B,student,0948489955,66206473@student.tdtu.edu.vn
96750866@student.tdtu.edu.vn,Student 50,96750866,male,0997003374,2021-10-20,87 Đường D,student,0993113231,80651382@student.tdtu.edu.vn
70878094@student.tdtu.edu.vn,Student 51,70878094,female,0930897596,2015-09-08,62 Đường B,student,0965420217,11159732@student.tdtu.edu.vn
44357613@student.tdtu.edu.vn,Student 52,44357613,female,0933894997,2012-07-14,40 Đường A,student,0930556149,14418808@student.tdtu.edu.vn
63266745@student.tdtu.edu.vn,Student 53,63266745,female,0942873168,2004-03-09,85 Đường E,student,0998673886,36840631@student.tdtu.edu.vn
70265311@student.tdtu.edu.vn,Student 54,70265311,male,0918653695,2017-12-17,64 Đường D,student,0938565707,98691171@student.tdtu.edu.vn
45082904@student.tdtu.edu.vn,Student 55,45082904,female,0994729661,2006-11-05,1 Đường C,student,0941109111,10406475@student.tdtu.edu.vn
39286925@student.tdtu.edu.vn,Student 56,39286925,male,0925412612,2001-08-07,74 Đường A,student,0988410860,99963885@student.tdtu.edu.vn
89838971@student.tdtu.edu.vn,Student 57,89838971,female,0945068656,2015-02-04,77 Đường E,student,0992618241,43037923@student.tdtu.edu.vn
68904229@student.tdtu.edu.vn,Student 58,68904229,female,0956092516,2010-04-07,53 Đường A,student,0927723592,60890471@student.tdtu.edu.vn
40287572@student.tdtu.edu.vn,Student 59,40287572,female,0935663767,2013-06-21,43 Đường D,student,0976152022,23312171@student.tdtu.edu.vn
28560184@student.tdtu.edu.vn,Student 60,28560184,male,0990703656,2007-10-10,7 Đường B,student,0911394327,23220737@student.tdtu.edu.vn
